dialogdef,registration_files,registration_count,reachability,entry_exit,focus_order,actions,scrolling,text_numeric_edit,glyphs,save_failure,controller_runtime,mkb_runtime
"g_PdModeSettingsMenuDialog","port/fast3d/pdgui_menu_warning.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_PreAndPostMissionBriefingMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_RetryMissionMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SelectMissionMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloEndscreenObjectivesCompletedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloEndscreenObjectivesFailedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionBriefingMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionControlStyleMenuDialog","port/fast3d/pdgui_menu_controldiagram.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionDifficultyMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionEndscreenCompletedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionEndscreenFailedMenuDialog","port/fast3d/pdgui_menu_endscreen.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionInventoryMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_SoloMissionPauseMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
"g_VideoOptionsMenuDialog","port/fast3d/pdgui_menu_solomission.cpp","1","source candidate; production push trace pending","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN","OPEN"
